Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 18179.440000000002, cantidad escalas: 3
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 25224.56, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 25713.630000000005, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 48462.81, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32550.230000000003, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 33863.28999999999, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 30474.44, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 21835.71, cantidad escalas: 4
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 22324.780000000002, cantidad escalas: 5
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 45073.96, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 8606.53, cantidad escalas: 5
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 29161.38, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 42768.98, cantidad escalas: 5
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 43258.05, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 66007.23, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 29539.800000000003, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 50094.65, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 26415.95, cantidad escalas: 5
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 33461.07, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 33950.14, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 56699.31999999999, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 40786.74, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 55955.39, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 47316.66, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 34087.479999999996, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 27166.190000000002, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 34211.31, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 42850.03999999999, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 68431.15, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 59792.42, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 60281.48999999999, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 46563.23999999999, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 30943.329999999998, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 22304.6, cantidad escalas: 5
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 22793.670000000002, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 45542.85, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 9075.42, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 25503.730000000003, cantidad escalas: 4
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32548.850000000006, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 33037.920000000006, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 55787.09999999999, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 39874.52, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 42868.76, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 43357.83, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 66107.01, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 29639.58, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 50194.43, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 28671.690000000002, cantidad escalas: 4
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 35716.81, cantidad escalas: 7
